id, titulo, anio, direct, seccion, enlace, duracion
5, Superman, 1978, Richard Donner, 1, https://www.filmaffinity.com/es/film170179.html, 143
6, Superman II, 1980, Richard Lester, 1, https://www.filmaffinity.com/es/film209211.html, 127
7, Superman III, 1983, Richard Lester, 1, https://www.filmaffinity.com/es/film605168.html, 125
8, Superman IV, 1987, Sidney J. Furie, 1, https://www.filmaffinity.com/es/film409036.html, 90
9, Nosferatu, 2024, Robert Eggers, 2, https://www.filmaffinity.com/es/film779702.html, 132
10, The Brutalist, 2024, Brady Corbet, 2, https://www.filmaffinity.com/es/film840798.html, 215
11, Nope, 2022, Jordan Peele, 1, https://www.filmaffinity.com/es/film230375.html, 130
12, 007 contra el Dr. No, 1962, Terence Young, 1, https://www.filmaffinity.com/es/film882585.html, 111
13, 007 Desde Rusia con amor, 1963, Terence Young, 1, https://www.filmaffinity.com/es/film823940.html, 118
14, 007 Goldfinger, 1964, Guy Hamilton, 1, https://www.filmaffinity.com/es/film734628.html, 108
15, 007 Operación Trueno, 1965, Terence Young, 1, https://www.filmaffinity.com/es/film313105.html, 129
16, 007 Sólo se vive dos veces, 1967, Lewis Gilbert, 1, https://www.filmaffinity.com/es/film618194.html, 117
17, 007 Al servicio de su Majestad, 1969, Peter Hunt, 1, https://www.filmaffinity.com/es/film823934.html, 140
18, 007 Diamantes para la eternidad, 1971, Guy Hamilton, 1, https://www.filmaffinity.com/es/film809946.html, 119
19, 007 Vive y deja morir, 1973, Guy Hamilton, 1, https://www.filmaffinity.com/es/film751179.html, 121
20, 007 El hombre de la pistola de oro, 1974, Guy Hamilton, 1, https://www.filmaffinity.com/es/film900301.html, 125
21, 4D Man, 1959, Irvin S. Yeaworth Jr., 2, https://www.filmaffinity.com/es/film367452.html, 85
22, Dragon Ball Super Super Hero, 2022, Tetsurô Kodama, 2, https://www.filmaffinity.com/es/film868972.html, 100
